time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
2.14,0,0,0,0,0,0,0,0,0.0427002302884671,0,0,3.03419297522058,4108.17611362554,4108.17611362554,4108.17611362554,4108.17611362554,38.8604405758684,38.8604405758684,38.8604405758684,38.8604405758684,0,0,0,3.048
2.16,0,0,0,0,0,0,0,0,0.0426848738811683,0,0,3.03504684471384,4108.05939637182,4108.05939637182,4108.05939637182,4108.05939637182,38.8590593908597,38.8590593908597,38.8590593908597,38.8590593908597,0,0,0,3.048
2.18,0,0,0,0,0,0,0,0,0.0426584383172153,0,0,3.03590029605625,4107.94420293252,4107.94420293252,4107.94420293252,4107.94420293252,38.8576970633427,38.8576970633427,38.8576970633427,38.8576970633427,0,0,0,3.048
2.2,0,0,0,0,0,0,0,0,0.0426210693837691,0,0,3.0367531091228,4107.83053091341,4107.83053091341,4107.83053091341,4107.83053091341,38.8563535636975,38.8563535636975,38.8563535636975,38.8563535636975,0,0,0,3.048
2.22,0,0,0,0,0,0,0,0,0.0425729126271898,0,0,3.03760506670181,4107.71837792173,4107.71837792173,4107.71837792173,4107.71837792173,38.855028862084,38.855028862084,38.855028862084,38.855028862084,0,0,0,3.048
2.24,0,0,0,0,0,0,0,0,0.0425141133531294,0,0,3.03845595449013,4107.60774156128,4107.60774156128,4107.60774156128,4107.60774156128,38.8537229283859,38.8537229283859,38.8537229283859,38.8537229283859,0,0,0,3.048
2.26,0,0,0,0,0,0,0,0,0.0424448166261507,0,0,3.03930556108831,4107.49861942749,4107.49861942749,4107.49861942749,4107.49861942749,38.852435732157,38.852435732157,38.852435732157,38.852435732157,0,0,0,3.048
2.28,0,0,0,0,0,0,0,0,0.0423651672688882,0,0,3.04015367799576,4107.3910091027,4107.3910091027,4107.3910091027,4107.3910091027,38.8511672425694,38.8511672425694,38.8511672425694,38.8511672425694,0,0,0,3.048
2.3,0,0,0,0,0,0,0,0,0.0422753098607632,0,0,3.04100009960594,4107.2849081516,4107.2849081516,4107.2849081516,4107.2849081516,38.8499174283622,38.8499174283622,38.8499174283622,38.8499174283622,0,0,0,3.048
2.32,0,0,0,0,0,0,0,0,0.0421753887362673,0,0,3.04184462320142,4107.18031411676,4107.18031411676,4107.18031411676,4107.18031411676,38.8486862577935,38.8486862577935,38.8486862577935,38.8486862577935,0,0,0,3.048
